counter	temp	goal	relay	energy
0	0	0	0	0
0	23	0	0	0
1	23	298	0	0
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
1	23	298	1	20
2	23	298	1	20
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
2	23	298	1	40
3	23	298	1	40
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
3	23	298	1	60
4	23	298	1	60
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
4	23	298	1	80
